court_id,court_name,restore_time
1,SOLOTennis网球俱乐部,无时间
2,北京嘉里健身室内网球场-室内游泳池,2025-06-30T11:41:41.237110
3,嘉里中心-网球场,无时间
4,NEXTCHAMP网球俱乐部(国贸校区),无时间
5,RockTennis网球学练馆(国贸店),无时间
6,郑洁网球汇(国贸店),无时间
7,北京市未来一号网球匹克球学练馆,无时间
8,Tennislife网球学练馆国贸店,无时间
9,WoowTennis网球俱乐部(国贸店),无时间
10,EYESIN能量波网球练习馆(CBD店),无时间
11,We Love Tennis维乐网球·匹克球学练馆,无时间
12,动之光·大望路网球馆,无时间
13,WoowTennis网球俱乐部(双井富力广场店),无时间
14,Ananas Tennis网球运动生活馆,无时间
15,挥拍玩家JoooyHit网球学练馆,无时间
16,红领巾公园网球场,无时间
17,AK Tennis(网球学练馆),无时间
18,赛特俱乐部-网球馆,无时间
19,CBD网球馆(赛特广场店),无时间
20,国际俱乐部网球馆,无时间
21,球星网球汇(合生汇球星运动中心店),无时间
22,金地网球,无时间
23,郡王府网球馆,无时间
24,儿童网球俱乐部,无时间
25,Tennis Go网球学练馆,无时间
26,朝阳公园体育中心-1号网球场,无时间
27,朝阳公园体育中心-2号网球场,无时间
28,朝阳公园体育中心网球中心-网球场,无时间
29,朝阳公园-网球中心,无时间
30,朝阳公园体育中心-9号网球场,无时间
31,朝阳公园体育中心-8号网球场,无时间
32,北京B.I.T.A.国际网球俱乐部,无时间
33,得乐网球(锦绣园网球场),无时间
34,得乐网球培训,无时间
35,拉布拉拍网球健身休闲中心,无时间
36,HelenTennis海伦网球俱乐部,无时间
37,浩铨网球俱乐部(建国门店),无时间
38,几木网球训练馆TennisGym,无时间
39,北京BITA国际网球俱乐部,无时间
40,TennisGym室内网球训练馆(观湖店),无时间
41,迪卡侬网球匹克球俱乐部,无时间
42,Tennislife网球学练馆(东直门店),无时间
43,RockTennis网球馆(天坛店),无时间
44,开心果网球俱乐部,无时间
45,柠远体育网球Lifetime Sports Tennis(朝阳大悦城店),无时间
46,网球兄弟,无时间
47,酷爱网球(赛洛城店),无时间
48,酷爱网球(珠江罗马嘉园店),无时间
49,迪米网球俱乐部,无时间
50,网动网球·学练馆,无时间
51,杰瑞网球俱乐部(甘露园店),无时间
52,NEXTCHAMP网球俱乐部(京城俱乐部校区),无时间
53,银橄榄网球场,无时间
54,Tennislife网球学练馆(百子湾店),无时间
55,外交网球俱乐部,无时间
56,燃动网球俱乐部(大悦城十里堡校区),无时间
57,OPEN STAR网球俱乐部(百子湾店),无时间
58,业之峰网球馆,无时间
59,XD不被定义网球馆(龙潭湖体育馆),无时间
60,CBD东舍网球场,无时间
89,拓能壹加网球基地(浩鸿园店),无时间
94,MCTC网球匹克球,无时间
95,OPeN STAR儿童网球馆(朝阳百货店),无时间
96,育乐网球(航星园店),无时间
102,茂华UHN国际村-网球场,无时间
107,酷爱网球(瞰都嘉园店),无时间
110,态尼思网球俱乐部(四得公园店),无时间
111,四得公园-网球场,无时间
116,齐动力儿童网球馆(华冠基地),无时间
118,乾坤体育网球学练馆(望京SOHOT1商场店),无时间
119,合拍网球学练馆,无时间
120,启晨体育酒仙桥UCP网球场,无时间
121,PadelOne匹克球板式网球场,无时间
122,Lee·high网球训练中心,无时间
123,酷迪网球(望京校区),无时间
124,芳草荟网球,无时间
125,柏林瀚网球馆望京店,无时间
126,浩生体育网球俱乐部(望京店),无时间
127,英图星Shine Star Tennis网球俱乐部(望京店),无时间
128,克拉网球(四元桥购物中心店),无时间
131,No996网球(红土场),无时间
132,网动网球(望京富成花园校区),无时间
133,中网名人网球俱乐部,无时间
134,新生网球NeoTennis(望京店),无时间
135,得乐网球俱乐部(宏昌竣网球中心),无时间
136,齐动力网球(亚运村姜庄湖店),无时间
137,姜庄湖网球俱乐部,无时间
139,动之光·宏昌竣网球馆,无时间
140,观唐网球俱乐部,无时间
141,浩华宫会议中心网球场,无时间
142,名人都网球俱乐部,无时间
144,亚运新新家园网球场小屋,无时间
145,新生空间·网球x击打馆x匹克球(亚运村店),无时间
146,对外经济贸易大学网球场(暂停营业),无时间
147,国家网球中心G区,无时间
148,奥林匹克森林公园南园网球G场-接待处,无时间
149,温菲尔德网球学院(国家馆校区),无时间
150,红土网球馆,无时间
151,国家网球中心K区(乒乓球室),无时间
152,百动国际网球学院·少儿网球(国网基地),无时间
153,奥林匹克森林公园国家网球中心-南区网球馆,无时间
154,FLY TENNIS AI网球学练工作室,无时间
155,国家网球中心综合运动场,无时间
156,国家网球中心(T park)-红土场,无时间
157,国家网球中心气膜馆A场,无时间
158,国家网球中心B场,无时间
159,国家网球中心莲花球场,无时间
160,国家网球中心南广场,无时间
161,文俪原网球诊练馆,无时间
162,国家网球中心映月球场,无时间
163,国家网球中心,无时间
164,大屯228网球匹克球俱乐部,无时间
165,国家网球中心C区,无时间
166,国家网球中心F区,无时间
167,国家网球中心-钻石球场,无时间
168,国家网球中心-布拉德球场,无时间
169,曲网球场,无时间
170,prince网球店,无时间
