name,dianping_url,meituan_url
乾坤体育网球学练馆(望京SOHOT1商场店),https://www.dianping.com/search/keyword/2_0_%E4%B9%BE%E5%9D%A4%E4%BD%93%E8%82%B2%E7%BD%91%E7%90%83%E5%AD%A6%E7%BB%83%E9%A6%86%28%E6%9C%9B%E4%BA%ACSOHOT1%E5%95%86%E5%9C%BA%E5%BA%97%29,https://www.meituan.com/s/%E4%B9%BE%E5%9D%A4%E4%BD%93%E8%82%B2%E7%BD%91%E7%90%83%E5%AD%A6%E7%BB%83%E9%A6%86%28%E6%9C%9B%E4%BA%ACSOHOT1%E5%95%86%E5%9C%BA%E5%BA%97%29/
合拍网球学练馆,https://www.dianping.com/search/keyword/2_0_%E5%90%88%E6%8B%8D%E7%BD%91%E7%90%83%E5%AD%A6%E7%BB%83%E9%A6%86,https://www.meituan.com/s/%E5%90%88%E6%8B%8D%E7%BD%91%E7%90%83%E5%AD%A6%E7%BB%83%E9%A6%86/
启晨体育酒仙桥UCP网球场,https://www.dianping.com/search/keyword/2_0_%E5%90%AF%E6%99%A8%E4%BD%93%E8%82%B2%E9%85%92%E4%BB%99%E6%A1%A5UCP%E7%BD%91%E7%90%83%E5%9C%BA,https://www.meituan.com/s/%E5%90%AF%E6%99%A8%E4%BD%93%E8%82%B2%E9%85%92%E4%BB%99%E6%A1%A5UCP%E7%BD%91%E7%90%83%E5%9C%BA/
PadelOne匹克球板式网球场,https://www.dianping.com/search/keyword/2_0_PadelOne%E5%8C%B9%E5%85%8B%E7%90%83%E6%9D%BF%E5%BC%8F%E7%BD%91%E7%90%83%E5%9C%BA,https://www.meituan.com/s/PadelOne%E5%8C%B9%E5%85%8B%E7%90%83%E6%9D%BF%E5%BC%8F%E7%BD%91%E7%90%83%E5%9C%BA/
酷迪网球(望京校区),https://www.dianping.com/search/keyword/2_0_%E9%85%B7%E8%BF%AA%E7%BD%91%E7%90%83%28%E6%9C%9B%E4%BA%AC%E6%A0%A1%E5%8C%BA%29,https://www.meituan.com/s/%E9%85%B7%E8%BF%AA%E7%BD%91%E7%90%83%28%E6%9C%9B%E4%BA%AC%E6%A0%A1%E5%8C%BA%29/
芳草荟网球,https://www.dianping.com/search/keyword/2_0_%E8%8A%B3%E8%8D%89%E8%8D%9F%E7%BD%91%E7%90%83,https://www.meituan.com/s/%E8%8A%B3%E8%8D%89%E8%8D%9F%E7%BD%91%E7%90%83/
柏林瀚网球馆望京店,https://www.dianping.com/search/keyword/2_0_%E6%9F%8F%E6%9E%97%E7%80%9A%E7%BD%91%E7%90%83%E9%A6%86%E6%9C%9B%E4%BA%AC%E5%BA%97,https://www.meituan.com/s/%E6%9F%8F%E6%9E%97%E7%80%9A%E7%BD%91%E7%90%83%E9%A6%86%E6%9C%9B%E4%BA%AC%E5%BA%97/
克拉网球(四元桥购物中心店),https://www.dianping.com/search/keyword/2_0_%E5%85%8B%E6%8B%89%E7%BD%91%E7%90%83%28%E5%9B%9B%E5%85%83%E6%A1%A5%E8%B4%AD%E7%89%A9%E4%B8%AD%E5%BF%83%E5%BA%97%29,https://www.meituan.com/s/%E5%85%8B%E6%8B%89%E7%BD%91%E7%90%83%28%E5%9B%9B%E5%85%83%E6%A1%A5%E8%B4%AD%E7%89%A9%E4%B8%AD%E5%BF%83%E5%BA%97%29/
态尼思网球俱乐部(四得公园店),https://www.dianping.com/search/keyword/2_0_%E6%80%81%E5%B0%BC%E6%80%9D%E7%BD%91%E7%90%83%E4%BF%B1%E4%B9%90%E9%83%A8%28%E5%9B%9B%E5%BE%97%E5%85%AC%E5%9B%AD%E5%BA%97%29,https://www.meituan.com/s/%E6%80%81%E5%B0%BC%E6%80%9D%E7%BD%91%E7%90%83%E4%BF%B1%E4%B9%90%E9%83%A8%28%E5%9B%9B%E5%BE%97%E5%85%AC%E5%9B%AD%E5%BA%97%29/
浩生体育网球俱乐部(望京店),https://www.dianping.com/search/keyword/2_0_%E6%B5%A9%E7%94%9F%E4%BD%93%E8%82%B2%E7%BD%91%E7%90%83%E4%BF%B1%E4%B9%90%E9%83%A8%28%E6%9C%9B%E4%BA%AC%E5%BA%97%29,https://www.meituan.com/s/%E6%B5%A9%E7%94%9F%E4%BD%93%E8%82%B2%E7%BD%91%E7%90%83%E4%BF%B1%E4%B9%90%E9%83%A8%28%E6%9C%9B%E4%BA%AC%E5%BA%97%29/
英图星Shine Star Tennis网球俱乐部(望京店),https://www.dianping.com/search/keyword/2_0_%E8%8B%B1%E5%9B%BE%E6%98%9FShine%20Star%20Tennis%E7%BD%91%E7%90%83%E4%BF%B1%E4%B9%90%E9%83%A8%28%E6%9C%9B%E4%BA%AC%E5%BA%97%29,https://www.meituan.com/s/%E8%8B%B1%E5%9B%BE%E6%98%9FShine%20Star%20Tennis%E7%BD%91%E7%90%83%E4%BF%B1%E4%B9%90%E9%83%A8%28%E6%9C%9B%E4%BA%AC%E5%BA%97%29/
